id,MAIUSCULAS,EXCLAMA,ASPAS,POL_ABSOLUTO,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,interrog,affect,posemo,negemo,anx,anger,sad
626,0.20454545454545456,0.0,0.0,0.4,0.2211055276381909,0.11458333333333336,0.171875,0.0,0.0,0.0,0.2291666666666667,0.0,0.1375,0.11458333333333336,0.15664556962025314,0.359375,0.2395833333333333,0.0,0.0,0.16249999999999998,0.375,0.0,0.203125,0.0,0.21428571428571427,0.0,0.5,0.0
972,0.21818181818181825,0.0,0.0,0.6000000000000001,0.2763819095477386,0.09166666666666667,0.1375,0.0,0.0,0.0,0.18333333333333332,0.0,0.11,0.18333333333333332,0.3829113924050633,0.0,0.0,0.12777777777777774,0.0,0.39,0.0,0.0,0.1625,0.45,0.0,0.0,0.0,0.0
42,0.16363636363636366,0.0,0.0,0.8,0.2211055276381909,0.18333333333333332,0.1375,0.0,0.0,0.0,0.18333333333333332,0.0,0.22000000000000006,0.18333333333333332,0.11139240506329114,0.28750000000000003,0.19166666666666668,0.12777777777777774,0.0,0.39,0.30000000000000004,0.14375000000000002,0.1625,0.45,0.0,0.0,0.0,0.0
1043,0.060606060606060615,0.0,0.0,0.4,0.2518146286990508,0.10185185185185186,0.15277777777777776,0.0,0.0,0.0,0.20370370370370366,0.0,0.12222222222222225,0.20370370370370366,0.2320675105485232,0.0,0.0,0.1419753086419753,0.0,0.0,0.3333333333333333,0.0,0.18055555555555555,0.5,0.0,0.0,0.0,0.0
831,0.2479338842975207,0.0,0.0,0.4,0.19597989949748745,0.25,0.375,0.0,0.0,0.5681818181818182,0.5,0.26136363636363635,0.2,0.16666666666666669,0.09493670886075947,0.0,0.0,0.11616161616161615,0.0,0.0,0.0,0.0,0.14772727272727273,0.0,0.15584415584415584,0.0,0.0,0.0
261,0.1422924901185771,0.0,0.0,0.4,0.8099191610225037,0.9565217391304348,0.8369565217391305,0.0,0.0,0.0,0.4782608695652174,1.0,0.7652173913043478,0.4782608695652174,0.16648321408915795,0.25,1.0,1.0,0.43478260869565216,0.2260869565217391,0.0,1.0,0.14130434782608695,0.0,0.14906832298136646,0.0,0.0,0.0
928,0.2479338842975207,0.0,0.0,0.4,0.3969849246231156,0.08333333333333334,0.125,0.0,0.0,0.0,0.16666666666666669,0.0,0.0,0.16666666666666669,0.17721518987341767,0.26136363636363635,0.5227272727272727,0.11616161616161615,0.0,0.23636363636363636,0.0,0.0,0.2954545454545455,0.4090909090909091,0.15584415584415584,0.0,0.0,0.0
38,0.17454545454545456,0.0,0.0,0.4,0.21005025125628135,0.07333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.08800000000000001,0.1466666666666667,0.3648101265822785,0.0,0.15333333333333335,0.1022222222222222,0.0,0.0,0.24,0.0,0.13,0.0,0.13714285714285715,0.0,0.0,0.0
182,0.1722488038277512,0.0,0.0,0.4,0.2356519439301772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3114590273151232,0.3026315789473684,0.0,0.0,0.0,0.2736842105263157,0.0,0.0,0.17105263157894735,0.0,0.18045112781954886,0.0,0.0,0.0
1143,0.3272727272727273,0.0,0.0,0.6000000000000001,0.5711892797319932,0.3666666666666667,0.36666666666666653,0.0,0.0,0.4166666666666667,0.4888888888888889,0.19166666666666665,0.3666666666666667,0.3055555555555556,0.2320675105485232,0.3833333333333333,0.5111111111111111,0.4259259259259259,0.6666666666666666,0.4333333333333333,0.4,0.19166666666666665,0.325,0.6,0.11428571428571427,0.0,0.0,0.3
